Reg. No.,Lab01,Lab02,Lab03,Lab04,Project1,Mid
E/12/088,2,2,0,0,0,12
E/13/004,2,2,2,0,10,13.3
E/13/010,2,2,1.5,2,0,10
E/13/011,2,2,1.5,2,0,13.3
E/13/013,2,2,1.5,2,9,8.7
E/13/019,2,2,2,0,9,10
E/13/041,2,2,2,0,0,9.3
E/13/043,2,2,2,2,12,12
E/13/052,2,0,1.4,2,0,12.7
E/13/056,2,2,2,0,10,13.3
E/13/057,2,2,2,2,12,10
E/13/058,2,2,1.8,2,10,12.7
E/13/061,2,2,2,2,12,12
E/13/073,2,2,2,2,12,11.3
E/13/095,2,2,2,0,10,14
E/13/101,2,2,2,2,12,9.3
E/13/106,2,2,1.5,0,0,6
E/13/107,2,2,2,2,12,16.67
E/13/110,2,2,1.9,2,10,16.67
E/13/119,2,2,1.4,2,0,12.67
E/13/120,2,2,2,1.8,6,12
E/13/132,2,2,2,0,0,10.67
E/13/135,2,2,2,2,12,11.33
E/13/160,2,2,2,0,0,10
E/13/170,2,2,1.5,2,10,14
E/13/175,2,2,2,2,10,15.33
E/13/181,2,2,2,2,12,18
E/13/183,2,2,2,0,12,10.67
E/13/185,2,2,0.8,0,10,11.33
E/13/186,2,2,1.5,0,0,4
E/13/192,2,2,2,0,10,6.67
E/13/200,2,2,1.7,1.8,12,12
E/13/206,2,2,2,2,12,15.33
E/13/216,2,2,1.9,0,12,12.67
E/13/220,2,2,1.4,0.5,0,12
E/13/222,2,2,2,1.8,12,10.67
E/13/234,2,2,0,0,0,8
E/13/237,2,2,2,2,10,10.67
E/13/239,2,2,2,0.5,8.9,12.67
E/13/244,2,2,1.5,2,12,15.33
E/13/258,2,2,2,2,10,13.33
E/13/274,2,2,2,2,12,14.67
E/13/276,2,2,2,0,10,10
E/13/277,2,2,2,1.8,10.8,14.67
E/13/285,2,2,1.5,0,0,14
E/13/286,2,2,2,2,12,10.67
E/13/303,2,2,0.5,0,0,12.67
E/13/315,2,2,2,2,12,13.33
E/13/319,1.6,2,1.8,0,0,14.67
E/13/320,2,2,1.5,2,10,9.33
E/13/347,2,2,1.5,0,0,7.33
E/13/349,0,2,1.5,2,0,9.33
E/13/356,2,2,1.5,1,10,12.67
E/13/363,2,2,0,0,0,12
E/13/366,2,0,2,2,10,14.67
E/13/377,1.8,2,2,1.5,12,12
E/13/396,2,2,2,0,10,13.33
E/13/397,2,2,0,2,10,12
E/13/402,2,2,0,0,0,14
E/13/415,2,2,0,0,0,14.67
E/13/420,2,2,2,0,10.8,9.33
MAXIMUM,2,2,2,2,10,20
